"DD Field","Source Field","Field Description","Selected","Resource"
"RAHB_HeightFeet","Room: HeightFeet","Height Feet","No","Propertyrooms"
"RAHB_HeightInches","Room: HeightInches","Height Inches","No","Propertyrooms"
"RAHB_HeightMeter","Room: HeightMeter","Height Meter","No","Propertyrooms"
"RAHB_InputEntryOrder","Room: InputEntryOrder","Input Entry Order","No","Propertyrooms"
"RAHB_IsDeleted","Room: IsDeleted","Is Deleted","No","Propertyrooms"
"RAHB_LastHumanModificationTimestamp","Room: LastHumanModificationTimestamp","Last Human Modification Timestam","No","Propertyrooms"
"RAHB_LengthMeter","Room: LengthMeter","Length Meter","No","Propertyrooms"
"RAHB_MeasurementType","Room: MeasurementType","Measurement Type","No","Propertyrooms"
"RAHB_WidthMeter","Room: WidthMeter","Width Meter","No","Propertyrooms"
"RoomArea","LengthFeet, LengthInches, WidthFeet, WidthInches","The area of the room being described.  Use the RoomAreaUnits field to describe the unit of measurement for the value in this field.","Yes","Propertyrooms"
"RoomAreaSource","","The source of the measurement of the given room's area.","No","Propertyrooms"
"RoomAreaUnits","""Square Feet""","The unit of measurement used for the value in the RoomArea field.  e.g. square feet, square meters, etc.","Yes","Propertyrooms"
"RoomDescription","","A textual description of the given room.","No","Propertyrooms"
"RoomDimensions","Dimensions","A textual description of the dimensions of the given room.","Yes","Propertyrooms"
"RoomFeatures","RoomFeatures","A list of features present in the given room.","Yes","Propertyrooms"
"RoomKey","matrix_unique_id","A unique identifier for this record. This is a string that can include URI or other forms.  Alternatively use the '...KeyNumeric' for a numeric only key field.  This is the local key of the system.","Yes","Propertyrooms"
"RoomKeyNumeric","","A unique identifier for this record. This is the numeric only key and used as an alternative to the string Key field.  This is the local key of the system.","No","Propertyrooms"
"RoomLength","LengthFeet, LengthInches","A numeric representation of the length of the given room.  See the RoomLengthWidthUnits for the unit of measurement used for the length and width.","Yes","Propertyrooms"
"RoomLengthWidthSource","","The source of the measurement of the given units length and width.","No","Propertyrooms"
"RoomLengthWidthUnits","""Feet""","The unit of measurement used for the value in the RoomLength and the RoomWidth fields.  e.g. feet, meters, etc.","Yes","Propertyrooms"
"RoomLevel","RoomLevel","The level within the dwelling on which the given room is located.","Yes","Propertyrooms"
"RoomType","RoomType","The type of room being described by the other fields in the PropertyRooms resource.","Yes","Propertyrooms"
"RoomWidth","WidthFeet, WidthInches","A numeric representation of the width of the given room.  See the RoomLengthWidthUnits for the unit of measurement used for the length and width.","Yes","Propertyrooms"
"BridgeModificationTimestamp",,"A timestamp representing when last this record was modified in the Bridge system.","Yes","Propertyunittypes"
"ListingId","Listing_MUI","This is the foreign ID relating to the Property Resource. The well known identifier for the listing. The value may be identical to that of the Listing Key, but the Listing ID is intended to be the value used by a human to retrieve the information about a specific listing. In a multiple originating system or a merged system, this value may not be unique and may require the use of the provider system to create a synthetic unique value.","Yes","Propertyunittypes"
"ListingKey","Listing_MUI","This is the foreign key relating to the Property Resource. A unique identifier for this record from the immediate source. This is a string that can include URI or other forms. Alternatively use the ListingKeyNumeric for a numeric only key field. This is the local key of the system. When records are received from other systems, a local key is commonly applied. If conveying the original keys from the source or originating systems, see SourceSystemKey and OriginatingSystemKey.","Yes","Propertyunittypes"
"ListingKeyNumeric",,"This is the foreign key relating to the property resource. A unique identifier for this record from the immediate source. This is the numeric only key and used as an alternative to the ListingKey fields. This is the local key of the system. When records are received from other systems, a local key is commonly applied. If conveying the original keys from the source or originating systems, see SourceSystemKey and OriginatingSystemKey.","No","Propertyunittypes"
"ModificationTimestamp","MatrixModifiedDT","Date/time this record was last modified.","Yes","Propertyunittypes"
"OriginatingUnitTypeKey",,"The system key, a unique record identifier, from the Originating system.  The Originating system is the system with authoritative control over the record.  For example, the Multiple Listing Service where the office was input.  There may be cases where the Source System (how you received the record) is not the Originating System.  See Source System Key for more information.","Yes","Propertyunittypes"
"RAHB_InputEntryOrder","InputEntryOrder","Input Entry Order","No","Propertyunittypes"
"RAHB_IsDeleted","IsDeleted","Is Deleted","No","Propertyunittypes"
"RAHB_LastHumanModificationTimestamp","LastHumanModificationTimestamp","Last Human Modification Timestam","No","Propertyunittypes"
"RAHB_NumberRoomsTotal","NumberRoomsTotal","Number Rooms Total","No","Propertyunittypes"
"RAHB_OccupiedYN","OccupiedYN","Occupied YN","No","Propertyunittypes"
"RAHB_UnitAppliances","UnitAppliances","Unit Appliances","No","Propertyunittypes"
"RAHB_UnitAverageSqFt","UnitAverageSqFt","Unit Average Sq Ft","No","Propertyunittypes"
"RAHB_UnitBathsFull","UnitBathsFull","Unit Baths Full","No","Propertyunittypes"
"RAHB_UnitBathsHalf","UnitBathsHalf","Unit Baths Half","No","Propertyunittypes"
"RAHB_UnitNumber","UnitNumber","Unit Number","No","Propertyunittypes"
"UnitTypeActualRent",,"The actual rent per month being collected for a given type of unit.","No","Propertyunittypes"
"UnitTypeBathsTotal","UnitBathsFull, UnitBathsHalf","The total number of baths for a given type of unit.","Yes","Propertyunittypes"
"UnitTypeBedsTotal","NumberBedrooms","The total number of bedrooms for a given type of unit.","Yes","Propertyunittypes"
"UnitTypeDescription",,"A textual description of a given type of unit.","No","Propertyunittypes"
"UnitTypeFurnished",,"The level of furnishing for a given type of unit. i.e. furnished, partial or unfurnished.","No","Propertyunittypes"
"UnitTypeGarageAttachedYN",,"Does the given type of unit have an attached garage? Yes/No.","No","Propertyunittypes"
"UnitTypeGarageSpaces",,"The number of garage spaces included with the given type of unit.","No","Propertyunittypes"
"UnitTypeKey","matrix_unique_id","A unique identifier for this record. This is a string that can include URI or other forms. Alternatively use the ""...KeyNumeric"" for a numeric only key field. This is the local key of the system.","Yes","Propertyunittypes"
